"ECACC No ","depositor","Depositor Cell Line Name","hESCreg Cell Line Name","BioSamples Cell Line ID","Batch","Biosamples Batch ID","Batch Type","EBiSC Internal ID","Comments","Status","Tracking Number ","Action needed"
66540115,"Sanger","HPSI1013i-yemz_3","WTSIi022-B","SAMEA2613897","P001",,"depositor","15/10/012",,,,
66540093,"Sanger ","HPSI0114i-zapk_3 ","WTSIi023-A","SAMEA2570432","P001",,"depositor","15/06/003","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540261,"Sanger ","HPSI0114i-zapk_2","WTSIi023-B","SAMEA2570426","P001",,"depositor","16/03/029","ZD printed 04-Apr-16",,,
66540094,"Sanger ","HPSI0114i-vabj_3","WTSIi024-A","SAMEA2595426","P001",,"depositor","15/06/004","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540095,"Sanger ","HPSI1013i-pamv_1 ","WTSIi025-A","SAMEA2474458","P001",,"depositor","15/06/005","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540116,"Sanger","HPSI1013i-pamv_3","WTSIi025-B","SAMEA2474454","P001",,"depositor","15/10/013",,,,
66540096,"Sanger ","HPSI0314i-hoik_1","WTSIi026-A","SAMEA2698315","P001",,"depositor","15/06/006","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540097,"Sanger ","HPSI0913i-oapg_5","WTSIi027-A","SAMEA2547899","P001",,"depositor","15/06/007","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540098,"Sanger ","HPSI1213i-babk_2 ","WTSIi028-A","SAMEA2459959","P001",,"depositor","15/06/008","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540099,"Sanger ","HPSI1013i-garx_2","WTSIi029-A","SAMEA2398552","P001",,"depositor","15/06/009","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540100,"Sanger ","HPSI0214i-pelm_3","WTSIi030-A","SAMEA2678738","P001",,"depositor","15/06/010","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540128,"Sanger ","HPSI0214i-pelm_1","WTSIi030-B","SAMEA2678742","P001",,"depositor","15/11/006","50 Labels printed 26NOV15 SP",,,
66540101,"Sanger ","HPSI0314i-bipt_1","WTSIi031-A","SAMEA2719619","P001",,"depositor","15/06/011","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540102,"Sanger","HPSI1113i-bima_1 ","WTSIi032-A","SAMEA2433568","P001",,"depositor","15/06/012","50 labels printed and sent to Sanger 18 Jun 15 ",,,
66540103,"Sanger","HPSI1013i-aetc_1 ","WTSIi033-A ","SAMEA2398632","P001",,"depositor","15/07/001","SP printed labels + sent 04 AUG 15",,,
66540104,"Sanger","HPSI0913i-kojv_2 ","WTSIi034-A ","SAMEA2397798","P001",,"depositor","15/07/002","SP printed labels + sent 04 AUG 15",,,
66540105,"Sanger","HPSI0913i-gooj_1 ","WTSIi035-A ","SAMEA2398905","P001",,"depositor","15/07/003","SP printed labels + sent 04 AUG 15",,,
66540106,"Sanger","HPSI1113i-waus_1 ","WTSIi036-A ","SAMEA2469767","P001",,"depositor","15/07/004","SP printed labels + sent 04 AUG 15",,,
66540033,"Sanger","HPSI0114i-zoxy_3","WTSIi037-A","SAMEA2536413","P001",,"depositor","15/09/001","EW printed 45 labels and sent 24 SEP15",,,
66540034,"Sanger","HPSI1113i-ieki_3","WTSIi038-A","SAMEA2445787","P001","SAMEG305801","depositor","15/09/002","EW printed 45 labels and sent 24 SEP15",,,
66540034,"Sanger","HPSI1113i-ieki_3","WTSIi038-A","SAMEA2445787","P002","SAMEG307080","depositor","16/01/002",,,,
66540117,"Sanger","HPSI1113i-ieki_2","WTSIi038-B","SAMEA2445779","P001",,"depositor","15/10/014",,,,
66540035,"Sanger","HPSI1013i-wopl_1","WTSIi039-A","SAMEA2398080","P001",,"depositor","15/09/003","EW printed 45 labels and sent 24 SEP15",,,
66540036,"Sanger","HPSI0314i-qaqx_1","WTSIi040-A","SAMEA2658084","P001",,"depositor","15/09/004","EW printed 45 labels and sent 24 SEP15",,,
66540037,"Sanger","HPSI0114i-bezi_1","WTSIi041-A","SAMEA2518325","P001",,"depositor","15/09/005","EW printed 45 labels and sent 24 SEP15",,,
66540038,"Sanger","HPSI1013i-jufd_2","WTSIi042-A","SAMEA2399463","P001",,"depositor","15/09/006","EW printed 45 labels and sent 24 SEP15",,,
66540182,"Sanger ","HPSI1013i-jufd_3","WTSIi042-B","SAMEA2399461","P001",,"depositor","16/02/003","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540118,"Sanger","HPSI0214i-eiwy_1","WTSIi044-A","SAMEA2645805","P001",,"depositor","15/10/015",,,,
66540119,"Sanger","HPSI0214i-heth_1","WTSIi045-A","SAMEA2658090","P001",,"depositor","15/10/016","50 Vial labels printed",,,
66540120,"Sanger","HPSI0214i-wibj_2","WTSIi046-A","SAMEA2627567","P001","SAMEG305912","depositor","15/10/017",,,,
66540224,"Sanger ","HPSI0214i-wibj_2","WTSIi046-A","SAMEA3311866","P002","SAMEG307375","depositor","16/02/045","Printed by SP 19 Feb 16",,,
66540255,"Sanger ","HPSI0214i-wibj_1","WTSIi046-B","SAMEA2627566","P001","SAMEG313654","depositor","16/03/026","Labels printed 11 March 16, contaminated at Sanger ",,,
66540255,"Sanger ","HPSI0214i-wibj_1","WTSIi046-B","SAMEA2627566","P002","SAMEG315832","depositor",,"P002 requested due to contamination of P001 ZD printed 05-May-16",,,
66540121,"Sanger","HPSI0814i-bokz_5","WTSIi047-A","SAMEA3355549","P001",,"depositor","15/10/018",,,,
66540122,"Sanger","HPSI0814i-bokz_6","WTSIi047-B","SAMEA3355550","P001",,"depositor","15/10/019",,,,
66540127,"Sanger ","HPSI0214i-datg_2","WTSIi048-A","SAMEA2632921","P001",,"depositor","15/11/005","50 Labels printed 26NOV15 SP",,,
66540126,"Sanger ","HPSI0514i-wiii_2","WTSIi049-A","SAMEA3312840","P001",,"depositor","15/11/004","50 Labels printed 26NOV15 SP",,,
66540125,"Sanger ","HPSI0514i-wiii_3","WTSIi049-B","SAMEA3316296","P001",,"depositor","15/11/003","50 Labels printed 26NOV15 SP",,,
66540152,"Sanger ","HPSI1014i-toss_3","WTSIi050-A","SAMEA3335591","P001","SAMEG306599","depositor","15/11/031","50 Labels printed",,,
66540151,"Sanger ","HPSI1113i-uofv_1","WTSIi051-A","SAMEA2464819","P001","SAMEG306600","depositor","15/11/030","50 Labels printed",,,
66540046,"Sanger ","HPSI1114i-ziyn_6","WTSIi052-A","SAMEA3311866","P001","SAMEG306601","depositor","15/11/029","50 Labels printed",,,
66540046,"Sanger ","HPSI1114I-ziyn_6","WTSIi052-A","SAMEA3311866","P002","SAMEG307376","depositor","16/02/046","Printed by SP 19 Feb 16, re-rpinted ZD 05-Apr-16",,,
66540150,"Sanger ","HPSI0413i-corn_1","WTSIi053-A","SAMEA2677117","P001","SAMEG306602","depositor","15/11/028","50 Labels printed",,,
66540149,"Sanger ","HPSI0413i-nudd_1","WTSIi054-A","SAMEA2399199","P001","SAMEG306603","depositor","15/11/027","50 Labels printed",,,
66540149,"Sanger","HPSI0413i-nudd_1","WTSIi054-A","SAMEA2399199","P002","SAMEG307488","depositor","16/02/050","Printed by SP 19 Feb 16",,,
66540247,"Sanger ","HPSI0413i-nudd_6","WTSIi054-B","SAMEA2398822","P001",,"depositor","16/03/018","Labels printed 11 March 16",,,
66540148,"Sanger ","HPSI0513i-debk_9","WTSIi055-A","SAMEA2399146","P001",,"depositor","15/11/026","50 Labels printed",,,
66540147,"Sanger ","HPSI0513i-dipe_1","WTSIi056-A","SAMEA2398050","P001",,"depositor","15/11/025","50 Labels printed",,,
66540146,"Sanger ","HPSI0513i-giuf_3","WTSIi057-A","SAMEA2398005","P001",,"depositor","15/11/024","50 Labels printed",,,
66540242,"Sanger ","HPSI0513i-giuf_1","WTSIi057-B","SAMEA2398296","P001",,"depositor","16/03/013","ZD printed 04-Apr-16",,,
66540145,"Sanger ","HPSI0513i-suzg_3","WTSIi058-A","SAMEA2399150","P001","SAMEG306607","depositor","15/11/023","50 Labels printed",,,
66540144,"Sanger ","HPSI0513i-uilw_1","WTSIi059-A","SAMEA2398838","P001","SAMEG306608","depositor","15/11/022","50 Labels printed",,,
66540143,"Sanger ","HPSI0513i-veqz_6","WTSIi060-A","SAMEA2398734","P001","SAMEG306609","depositor","15/11/021","50 Labels printed",,,
66540142,"Sanger ","HPSI0513i-veve_2","WTSIi061-A","SAMEA2397967","P001","SAMEG306610","depositor","15/11/020","50 Labels printed",,,
66540141,"Sanger ","HPSI0513i-zaui_3","WTSIi062-A","SAMEA2459960","P001","SAMEG306611","depositor","15/11/019","50 Labels printed",,,
66540140,"Sanger ","HPSI0613i-aevs_1","WTSIi063-A","SAMEA2398691","P001","SAMEG306612","depositor","15/11/018","50 Labels printed",,,
66540139,"Sanger ","HPSI0613i-bohf_1","WTSIi064-A","SAMEA2398251","P001",,"depositor","15/11/017","50 Labels printed",,,
66540138,"Sanger ","HPSI0613i-eojr_2","WTSIi065-A","SAMEA2399151","P001",,"depositor","15/11/016","50 Labels printed",,,
66540137,"Sanger ","HPSI0613i-eojr_3","WTSIi065-B","SAMEA2398291","P001",,"depositor","15/11/015","50 Labels printed",,,
66540136,"Sanger ","HPSI0613i-febc_1","WTSIi066-A","SAMEA2398252","P001",,"depositor","15/11/014","50 Labels printed",,,
66540135,"Sanger ","HPSI0613i-febc_2","WTSIi066-B","SAMEA2399014","P001",,"depositor","15/11/013","50 Labels printed",,,
66540133,"Sanger ","HPSI0713i-foop_1","WTSIi067-A","SAMEA2399242","P001",,"depositor","15/11/011","50 Labels printed 26NOV15 SP",,,
66540134,"Sanger ","HPSI0713i-foop_2","WTSIi067-B","SAMEA2398732","P001",,"depositor","15/11/012","50 Labels printed 26NOV15 SP",,,
66540132,"Sanger ","HPSI0613i-giuo_5","WTSIi068-A","SAMEA2399222","P001",,"depositor","15/11/010","50 Labels printed 26NOV15 SP",,,
66540153,"Sanger ",,"WTSIi069-A","SAMEA2398257","P001",,"depositor","15/12/002","50 Labels printed 08 Dec 15",,,
66540131,"Sanger ","HPSI0713i-terl_1","WTSIi070-A","SAMEA2397851","P001",,"depositor","15/11/009","50 Labels printed 26NOV15 SP",,,
66540130,"Sanger ","HPSI0713i-terl_2","WTSIi070-B","SAMEA2398335","P001",,"depositor","15/11/008","50 Labels printed 26NOV15 SP",,,
66540183,"Sanger ","HPSI0913i-lise_1","WTSIi071-A","SAMEA2625592","P001",,"depositor","16/02/004","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540193,"Sanger ","HPSI0913i-lise_3","WTSIi071-B","SAMEA2625589","P001",,"depositor","16/02/014","Printed by ZD 16 Feb 16",,,
66540184,"Sanger ","HPSI0114i-fikt_3","WTSIi072-A","SAMEA2547619","P001",,"depositor","16/02/005","Printed by SP 12 Feb 16",,,
66540185,"Sanger ","HPSI0314i-sojd_3","WTSIi073-A","SAMEA2627569","P001",,"depositor","16/02/006","Printed by SP 12 Feb 16",,,
66540253,"Sanger ","HPSI0314i-sojd_2","WTSIi073-B","SAMEA2627571","P001",,"depositor","16/03/024","ZD printed 04-Apr-16",,,
66540186,"Sanger ","HPSI0114i-joxm_1","WTSIi074-A","SAMEA2547637","P001",,"depositor","16/02/007","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540188,"Sanger ","HPSI0114i-vass_1","WTSIi075-A","SAMEA2627141","P001",,"depositor","16/02/009","Printed by SP 12 Feb 16",,,
66540189,"Sanger ","HPSI0214i-kehc_2","WTSIi076-A","SAMEA2658107","P001",,"depositor","16/02/010","Printed by ZD 16 Feb 16",,,
66540190,"Sanger ","HPSI0314i-cuhk_1","WTSIi077-A","SAMEA2682671","P001",,"depositor","16/02/011","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540191,"Sanger ","HPSI0314i-fafq_1","WTSIi078-A","SAMEA2711371","P001",,"depositor","16/02/012","Printed by ZD 16 Feb 16",,,
66540194,"Sanger ","HPSI1013i-hiaf_2","WTSIi079-A","SAMEA2609971","P001",,"depositor","16/02/015","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540195,"Sanger ","HPSI1013i-sebz_1","WTSIi080-A","SAMEA2420640","P001",,"depositor","16/02/016","Printed by ZD 16 Feb 16",,,
66540196,"Sanger ","HPSI1113i-qorq_2","WTSIi081-A","SAMEA2609965","P001",,"depositor","16/02/017","Printed by SP 17 Feb 16",,,
66540197,"Sanger ","HPSI1113i-qorq_1","WTSIi081-B","SAMEA2609972","P001",,"depositor","16/02/018","Printed by SP 17 Feb 16",,,
66540198,"Sanger ","HPSI1213i-xuja_2","WTSIi083-A","SAMEA2494988","P001",,"depositor","16/02/019","Printed by SP 17 Feb 16 ",,,
66540199,"Sanger ","HPSI0713i-cicb_3","WTSIi084-A","SAMEA2398485","P001",,"depositor","16/02/020","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540200,"Sanger ","HPSI0713i-cicb_2","WTSIi084-B","SAMEA2398319","P001",,"depositor","16/02/021","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540201,"Sanger ","HPSI0913i-coyi_3","WTSIi086-A","SAMEA2397914","P001",,"depositor","16/02/022","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540202,"Sanger ","HPSI0813i-uaqe_1","WTSIi087-A","SAMEA2398377","P001",,"depositor","16/02/023","Printed by SP 18 Feb 16",,,
66540203,"Sanger ","HPSI0913i-ruql_3","WTSIi088-A","SAMEA2518336","P001",,"depositor","16/02/024","Printed by SP 18 Feb 16",,,
66540204,"Sanger ","HPSI0613i-xavk_3","WTSIi089-A","SAMEA2397946","P001",,"depositor","16/02/025","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540205,"Sanger ","HPSI0813i-robp_3","WTSIi090-A","SAMEA2398670","P001",,"depositor","16/02/026","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540206,"Sanger ","HPSI0813i-ffdc_11","WTSIi091-A","SAMEA2398313","P001",,"depositor","16/02/027","Printed by SP 18 Feb 16",,,
66540207,"Sanger ","HPSI0713i-nemb_1","WTSIi092-A","SAMEA2398231","P001",,"depositor","16/02/028","Printed by SP 11 Feb 16","Sent 12 Feb 16 via post ",,
66540208,"Sanger ","HPSI0413i-sukz_1","WTSIi093-A","SAMEA2398007","P001",,"depositor","16/02/029","Printed by ZD 11 Feb 16","Sent 12 Feb 16 via post ",,
66540209,"Sanger ","HPSI0613i-xucm_3","WTSIi094-A","SAMEA2469776","P001",,"depositor","16/02/030","Printed by ZD 11 Feb 16","Sent 12 Feb 16 via post ",,
66540210,"Sanger ","HPSI0813i-vajx_2","WTSIi095-A","SAMEA2555015","P001",,"depositor","16/02/031","Printed by ZD 11 Feb 16","Sent 12 Feb 16 via post ",,
66540211,"Sanger ","HPSI0813i-guss_1","WTSIi096-A","SAMEA2697659","P001",,"depositor","16/02/032","Printed by SP 18 Feb 16",,,
66540212,"Sanger ","HPSI0813i-aizi_3","WTSIi097-A","SAMEA2420639","P001",,"depositor","16/02/033","Printed by SP 18 Feb 16",,,
66540213,"Sanger ","HPSI0813i-aizi_1","WTSIi097-B","SAMEA2420642","P001",,"depositor","16/02/034","Spreadsheet complete ready to be printed. ",,,
66540214,"Sanger ","HPSI0813i-civh_1","WTSIi099-A","SAMEA2397802","P001",,"depositor","16/02/035","Printed by SP 12 Feb 16",,,
66540215,"Sanger ","HPSI0813i-zexw_3","WTSIi100-A","SAMEA2625596","P001",,"depositor","16/02/036","Printed by SP 12 Feb 16",,,
66540216,"Sanger ","HPSI0513i-fejf_2","WTSIi101-A","SAMEA2398812","P001",,"depositor","16/02/037","Printed by SP 12 Feb 16",,,
66540217,"Sanger ","HPSI0413i-iakz_2","WTSIi102-A","SAMEA2397889","P001",,"depositor","16/02/038","Printed by SP 12 Feb 16",,,
66540218,"Sanger ","HPSI0413i-iakz_1","WTSIi102-B","SAMEA2398858","P001",,"depositor","16/02/039","Printed by SP 12 Feb 16",,,
66540219,"Sanger ","HPSI0513i-coio_2","WTSIi104-A","SAMEA2398916","P001",,"depositor","16/02/040","Printed by SP 12 Feb 16",,,
66540220,"Sanger ","HPSI0513i-coio_1","WTSIi104-B","SAMEA2398024","P001",,"depositor","16/02/041","Printed by SP 12 Feb 16",,,
66540232,"Sanger ","HPSI0313i-airc_66","WTSIi105-B","SAMEA2399089","P001","SAMEG313658","depositor","16/03/003","Labels printed 02 March 16",,,
66540232,"Sanger ","HPSI0313i-airc_66","WTSIi105-B","SAMEA2399089","P002","SAMEG316817","depositor",,"ZD printed 04-Jul-16",,,
66540221,"Sanger ","HPSI0613i-hikj_2","WTSIi106-A","SAMEA2398233","P001",,"depositor","16/02/042","Printed by SP 12 Feb 16",,,
66540222,"Sanger ","HPSI0813i-iill_1","WTSIi107-A","SAMEA2398643","P001",,"depositor","16/02/043","Printed by SP 12 Feb 16",,,
66540223,"Sanger ","HPSI0813i-iill_3","WTSIi107-B","SAMEA2399058","P001",,"depositor","16/02/044","Printed by SP 12 Feb 16",,,
66540234,"Sanger ","HPSI0413i-coxy_33","WTSIi109-B","SAMEA2398219","P001",,"depositor","16/03/005","Labels printed 02 March 16",,,
66540241,"Sanger ","HPSI0913i-gedo_33","WTSIi113-B","SAMEA2398982","P001",,"depositor","16/03/012","Labels printed 14 March 16 ZD ",,,
66540230,"Sanger ","HPSI0713i-aehn_22","WTSIi130-A","SAMEA2398712","P001",,"depositor","16/03/001","Labels printed 02 March 16",,,
66540231,"Sanger ","HPSI0513i-aipt_33","WTSIi131-A","SAMEA2398868","P001",,"depositor","16/03/002","Labels printed 02 March 16",,,
66540233,"Sanger ","HPSI0613i-bawa_1","WTSIi132-A","SAMEA2493816","P001",,"depositor","16/03/004","Labels printed 02 March 16",,,
66540235,"Sanger ","HPSI0713i-dard_1","WTSIi133-A","SAMEA2398125","P001",,"depositor","16/03/006","Labels printed 02 March 16",,,
66540236,"Sanger ","HPSI0713i-dard_2","WTSIi133-B","SAMEA2397935","P001",,"depositor","16/03/007","Labels printed 07 March 16",,,
66540237,"Sanger ","HPSI0513i-dulv_1","WTSIi134-A","SAMEA2398925","P001",,"depositor","16/03/008","Labels printed 11 March 16",,,
66540238,"Sanger ","HPSI0513i-dulv_2","WTSIi134-B","SAMEA2398957","P001",,"depositor","16/03/009","Labels printed 11 March 16",,,
66540240,"Sanger ","HPSI0214i-feec_2","WTSIi135-A","SAMEA2612471","P001",,"depositor","16/03/011","Labels printed 11 March 16",,,
66540243,"Sanger ","HPSI0913i-iuqb_1","WTSIi136-A","SAMEA2399071","P001",,"depositor","16/03/014","Labels printed 14 March 16 ZD ",,,
66540244,"Sanger ","HPSI0613i-lizq_1","WTSIi137-A","SAMEA2398446","P001",,"depositor","16/03/015","Labels printed 14 March 16 ZD ",,,
66540245,"Sanger ","HPSI0613i-lizq_3","WTSIi137-B","SAMEA2399088","P001",,"depositor","16/03/016","Labels printed 11 March 16",,,
66540246,"Sanger ","HPSI0414i-mita_2","WTSIi138-A","SAMEA2724743","P001",,"depositor","16/03/017","Labels printed 14 March 16 ZD ",,,
66540248,"Sanger ","HPSI1113i-oaaz_2","WTSIi139-A","SAMEA2459970","P001",,"depositor","16/03/019","ZD printed 04-Apr-16",,,
66540249,"Sanger ","HPSI0613i-oomz_22","WTSIi140-A","SAMEA2398841","P001",,"depositor","16/03/020","ZD printed 04-Apr-16",,,
66540250,"Sanger ","HPSI0613i-qanu_1","WTSIi141-A","SAMEA2399142","P001",,"depositor","16/03/021","Labels printed 11 March 16",,,
66540251,"Sanger ","HPSI0613i-qony_1","WTSIi142-A","SAMEA2398374","P001",,"depositor","16/03/022","Labels printed 11 March 16",,,
66540252,"Sanger ","HPSI0214i-rayr_1","WTSIi143-A","SAMEA2649534","P001",,"depositor","16/03/023","ZD printed 04-Apr-16",,,
66540254,"Sanger ","HPSI0114i-wegi_1","WTSIi144-A","SAMEA2547631","P001",,"depositor","16/03/025","ZD printed 04-Apr-16",,,
66540256,"Sanger ","HPSI0813i-wots_3","WTSIi145-A","SAMEA2697658","P001",,"depositor","16/03/027","Labels printed 11 March 16",,,
66540257,"Sanger ","HPSI0613i-xosg_2","WTSIi146-A","SAMEA2678739","P001",,"depositor","16/03/028","ZD printed 04-Apr-16",,,
66540301,"Sanger ","HPSI1013i-mijn_2             ","WTSIi147-A         ","SAMEA2398385","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540302,"Sanger ","HPSI0114i-veui_3             ","WTSIi148-A         ","SAMEA2464772","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540303,"Sanger ","HPSI0913i-laia_4               ","WTSIi149-A        ","SAMEA3356002","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540304,"Sanger ","HPSI0414i-jetz_1              ","WTSIi150-A         ","SAMEA2729778","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540305,"Sanger ","HPSI0414i-fixm_2             ","WTSIi151-A         ","SAMEA2757093","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540306,"Sanger ","HPSI0414i-eafb_1            ","WTSIi152-A         ","SAMEA2769874","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540307,"Sanger ","HPSI0414i-puvg_1            ","WTSIi153-A         ","SAMEA2769876","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540308,"Sanger ","HPSI0414i-lavd_2             ","WTSIi154-A         ","SAMEA2777396","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540309,"Sanger ","HPSI0414i-hutq_1            ","WTSIi155-A         ","SAMEA2777391","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540310,"Sanger ","HPSI0414i-xugr_2             ","WTSIi156-A         ","SAMEA2794309","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540311,"Sanger ","HPSI0614i-eavo_1            ","WTSIi157-A         ","SAMEA3271659","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540312,"Sanger ","HPSI0914i-fuhz_1             ","WTSIi158-A         ","SAMEA3313418","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540313,"Sanger ","HPSI0714i-gibe_2             ","WTSIi159-A         ","SAMEA3336930","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540314,"Sanger ","HPSI0914i-verf_1             ","WTSIi160-A         ","SAMEA3340804","P001","SAMEG314603","depositor",,"ZD printed 06-Apr-16",,,
66540314,"Sanger ","HPSI0914i-verf_1             ","WTSIi160-A         ","SAMEA3340804","P002","SAMEG316818","depositor",,"ZD printed 04-Jul-16",,,
66540315,"Sanger ","HPSI0714i-rajk_1              ","WTSIi161-A         ","SAMEA3355533","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540316,"Sanger ","HPSI0914i-lopq_1             ","WTSIi162-A         ","SAMEA3355534","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540317,"Sanger ","HPSI1014i-suok_3            ","WTSIi163-A         ","SAMEA3355538","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540318,"Sanger ","HPSI0614i-foyj_1              ","WTSIi164-A         ","SAMEA3355547","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540319,"Sanger ","HPSI0414i-reng_4            ","WTSIi165-A         ","SAMEA3358976","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540320,"Sanger ","HPSI0414i-wize_1           ","WTSIi166-A         ","SAMEA3374096","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540321,"Sanger ","HPSI1013i-funy_1            ","WTSIi167-A         ","SAMEA2398081","P001",,"depositor",,"ZD printed 06-Apr-16",,,
66540336,"Sanger ","HPSI0214i-poih_4","WTSIi168-A","SAMEA3969686","P001",,"depositor",,"HRM printed ",,,
66540378,"Sanger ","HPSI0214i-poih_2  ","WTSIi168-B","SAMEA3968761","P001",,"depositor",,"ZD printed 03 Jun 16",,,
66540337,"Sanger ","HPSI0614i-miaj_6","WTSIi169-A","SAMEA3962387","P001",,"depositor",,"LC printed ",,,
66540408,"Sanger ","HPSI0614i-miaj_4","WTSIi169-B","SAMEA3854313","P001",,"depositor",,"ZD pritned 21-Jun-16",,,
66540338,"Sanger ","HPSI1213i-tolg_4","WTSIi170-A","SAMEA3974244","P001",,"depositor",,"LC printed ",,,
66540339,"Sanger ","HPSI1213i-tolg_6","WTSIi170-B","SAMEA3974241","P001",,"depositor",,"LC printed ",,,
66540340,"Sanger ","HPSI0914i-zerv_7","WTSIi171-A","SAMEA4089453","P001",,"depositor",,"LC printed ",,,
66540341,"Sanger ","HPSI0914i-zerv_8","WTSIi171-B","SAMEA4089454","P001",,"depositor",,"LC printed ",,,
66540342,"Sanger ","HPSI0914i-laey_6","WTSIi172-A","SAMEA3853161","P001",,"depositor",,"LC printed ",,,
66540343,"Sanger ","HPSI0914i-laey_4","WTSIi172-B","SAMEA3853157","P001","SAMEG315617","depositor",,"HB printed ",,,
66540343,"Sanger ","HPSI0914i-laey_4","WTSIi172-B","SAMEA3853157","P002","SAMEG316864","depositor",,"ZD printed 14-Jul-16",,,
66540344,"Sanger ","HPSI0414i-naju_1","WTSIi173-A","SAMEA3962372","P001",,"depositor",,"HB printed ",,,
66540345,"Sanger ","HPSI0614i-paab_4","WTSIi174-A","SAMEA3962562","P001",,"depositor",,"HB printed ",,,
66540379,"Sanger ","HPSI0614i-paab_3  ","WTSIi174-B","SAMEA3962561","P001",,"depositor",,"ZD printed 03 Jun 16",,,
66540346,"Sanger ","HPSI1014i-tixi_4","WTSIi175-A","SAMEA3962389","P001",,"depositor",,"HB printed ",,,
66540347,"Sanger ","HPSI0714i-iudw_1","WTSIi176-A","SAMEA3851971","P001",,"depositor",,"HB printed ",,,
66540348,"Sanger ","HPSI0714i-iudw_4","WTSIi176-B","SAMEA3851966","P001",,"depositor",,"HB printed 12 May16",,,
66540349,"Sanger ","HPSI0414i-xojn_3","WTSIi177-A","SAMEA3854068","P001",,"depositor",,"HB printed 12 May16",,,
66540350,"Sanger ","HPSI0215i-fawm_2","WTSIi178-A","SAMEA3735541","P001",,"depositor",,"HB printed 12 May16",,,
66540351,"Sanger ","HPSI0215i-fawm_4","WTSIi178-B","SAMEA3754916","P001",,"depositor",,"HB printed 12 May16",,,
66540352,"Sanger ","HPSI0314i-wigw_2","WTSIi179-A","SAMEA3969710","P001",,"depositor",,"HB printed 12 May16",,,
66540353,"Sanger ","HPSI0514i-puie_4","WTSIi180-A","SAMEA3962563","P001",,"depositor",,"HB printed 12 May16",,,
66540409,"Sanger ","HPSI0514i-puie_5","WTSIi180-B","SAMEA3962560","P001",,"depositor",,"ZD pritned 21-Jun-16",,,
66540354,"Sanger ","HPSI0514i-rutc_2","WTSIi181-A","SAMEA3974014","P001",,"depositor",,"HB printed 12 May16",,,
66540355,"Sanger ","HPSI0614i-kegd_2","WTSIi182-A","SAMEA3977051","P001",,"depositor",,"HB printed 12 May16",,,
66540380,"Sanger ","HPSI0414i-oaqd_2  ","WTSIi183-A","SAMEA3854308","P001",,"depositor",,"ZD printed 08 Jun 16",,,
66540381,"Sanger ","HPSI0414i-oaqd_3  ","WTSIi183-B","SAMEA3965164","P001",,"depositor",,"ZD printed 08 Jun 16",,,
66540382,"Sanger ","HPSI1014i-qayj_3  ","WTSIi184-A","SAMEA3963885","P001",,"depositor",,"ZD printed 08 Jun 16",,,
66540410,"Sanger ","HPSI1014i-qayj_4","WTSIi184-B","SAMEA3963884","P001",,"depositor",,"ZD pritned 21-Jun-16",,,
66540383,"Sanger ","HPSI0414i-seru_7  ","WTSIi185-A","SAMEA3965165","P001",,"depositor",,"ZD printed 08 Jun 16",,,
